Target;Explanation
Republican Party; Republican Party as an organization
Republican politicians; Republican politicians as a group, including representatives, senators and governors
Republican politician (generic); a Republican politician not on the list. 
Republicans; Republican party supporters. A comment about both the Republican politicians and Republican party supporters would fall here. If it is only about Republican politicians, use the Republican politicians label.
Conservatives; Conservative people and/or ideology
Right-wingers; right-wing people and/or ideology
Alt-right; alt-right people and/or ideology
Independents; independent people (often used for voters without a party affiliation)
Democratic Party; Democratic Party as an organization
Democratic politicians; Democratic politicians as a group, including representatives, senators and governors
Democratic politician (generic); a Democratic politician not on the list
Democrats; Democratic party supporters. A comment about both the Democratic politicians and Democratic party supporters would fall here. If it is only about Democratic politicians, use the Democratic politicians label.
Centrists; Centrist people and/or ideology
Liberals; Liberal people and/or ideology
Leftists; Leftist people and/or ideology
Greens; Green people and/or ideology
Socialists; Socialist people and/or ideology
Antifa; Antifa political group and its supporters
Abortion; Planned Parenthood also almost always fall under here, unless they specifically focus on Planned Parenthood as a public healthcare organization.
Gun Control;
LGBTQ rights;
Vaccination;
Belief in Institutional Racism;
Belief in Climate Change;
Immigration;
Affirmative Action for Racial Equality;
Affirmative Action for Gender Equality;
Muslims;
Jews;
Catholics;
Protestants;
Christians;
Atheists;
Whites;
Blacks;
Hispanics;
Asians;
Indians;
Government spending;Fiscal policies that favor an increased government budget  Use the specific label if it refers to a higher budget for education, healthcare, military, security, or any other item on the list.
Tax cuts (general);Tax cuts that apply to everyone
Tax cuts (for rich);Tax cuts that apply to the rich
Tax cuts (for low-middle classes);Tax cuts that apply to the low and/or middle class
Higher corporate tax;A comment calling for lower corporate tax rate would be labelled as Anti (so -1) Higher Corporate Tax,
Higher taxes for the rich;
Minimum wage/Higher minimum wage; establishing a minimum wage, or increasing it
Social spending; social spending, except healthcare, education, Coronavirus stimulus checks and security  Examples: unemployment or childcare benefits, public funding of parks etc.
Universal basic income; Universal Basic Income (UBI) in which people regularly receive a minimum income without any checks on conditions.
Public healthcare; public healthcare, including Affordable Care Act (Obamacare), Medicare, Medicaid, healthcare reforms that would require more government funding
Private healthcare; private healthcare. Examples include calls for more privatization, removal of existing social security programs (ACA/Medicaid etc.)
Public education; public education. Examples include calls for more government funding for schools
Private education; private education. Examples include calls for more privatization
Student loan forgiveness; whether student loans and debt should be forgiven.
Government bailouts; government bailout of private corporations, a common example would be bank bailouts during the 2008 financial crisis.
Military spending; the US military spending/budget
Police spending; the US police/law enforcement spending/budget. This is often referred within the state level, but covers both state and federal budgets.
International Trade; International Trade. Examples include Trans-Pacific Partnership, US trade with China, US trade with Canada and Mexico (NAFTA), World Trade Organization etc.
Protectionism; protectionist international trade policies, such as Tariffs and trade barriers.
Nuclear Energy;
Renewable/Green Energy;
Fossil fuels;
Trust in the US government (general); the Trust the US government as an organization that do not mention a party/president
Trust in the Biden administration;
Trust in the Trump administration;
Trust in the Obama administration;
Trust in the G.W. Bush administration;
Trust in the US Military;
Trust in the US Law Enforcement;
Trust in the US electoral system; the US electoral system, including electoral college, two-party system, first past the post voting, electoral districts, campaign donations and funding (political action comittes, SuperPACs)
Restrictions on Voting Access; the regulations that make voting less accessible. Examples include registration or ID checks. Counter examples, i.e. cases that make voting easier, would include mail-in ballots, ways to reduce voting queues, or helping those waiting in the voting queue.
Trust in the US judicial system/courts; the US judicial system and courts in general. Examples include fair sentencing, costly court cases where corporations can outspend individuals
Trust in the US Supreme Court;Specifically refering to the US Supreme Court
Coronavirus stimulus checks;
Discrimination based on Political Beliefs or Activities;
Capital Punishment;
Diversity, equity, and inclusion initiatives; DEI initiatives that seek to promote the fair treatment and full participation of all people, particularly groups who have historically been underrepresented or subject to discrimination. Criticized by Conservatives on the basis that it creates preferential treatment of minorities, forgoes merit as the basis of quality, and restricts freedom of speech.
Critical Race Theory; CRT, which focuses on the relationships between social conceptions of race and ethnicity, social and political laws, and mass media. CRT also considers racism to be systemic in various laws and rules, not based only on individuals' prejudices. It is criticisized by (often) Conservatives for being anti-American and anti-White, for undermining American history and traditions. Mostly referred in the context of right-wing backlash and censure of CRT in schools.
Multiculturalism; multiple cultures living together or interacting
Cannabis legalization;
Environmental Protections;
Trust in the scientific community; the scientific community. Examples include the academia, advisory organizations such as World Health Organization, Centers for Disease Control and Prevention (CDC)
Pornography;
Euthanasia;
AI-driven surveillance; whether the government should use AI technologies in surveillance.
Social Media Regulations; whether social media platforms and the associated companies should be regulated more 
Cryptocurrencies; cryptocurrencies, decentralized finance, and financial use of blockchain technology. A positive stance would favor those, a negative stance would be against or would call for more regulations.
AI Regulations; the general attitudes toward AI regulation or ethics
Use of AI in the workplace; the use of AI , often referred in the context of AI replacing human workers.
Religion (general); religion that speak on general terms without referring to a specific belief system
Net Neutrality; Net Neutrality, the principle that Internet service providers (ISPs) must treat all Internet communications equally.
Zoning Laws; (the US, and often state or city level) Zoning Regulations, that divide land in a municipality into zones in which certain land uses are permitted or prohibited. Often referred in the context of certain municipalities blocking new constructions to keep house/land values higher, which exacerbate housing crisis.
Whistleblowing/Leaks; whistleblowing or journalistic practice of leaking. Examples include Wikileaks, Panama Papers, Boeing whistleblowers, and often discussed through people such as Julian Assange, Edward Snowden, Chelsea Manning
Censorship; censorship by an administrative or regulative body (the government, the state, and also municipal education boards). Often referred in the context of some US schools banning certain books.
