Detailed Label;Broad Label
Republican Party;Republicans/Conservatives
Republican politicians;Republicans/Conservatives
Republican politician (generic);Republicans/Conservatives
Republicans;Republicans/Conservatives
Conservatives;Republicans/Conservatives
Right-wingers;Right-wingers
Alt-right;Right-wingers
Independents;Independents
Democratic Party;Democrats/Liberals
Democratic politicians;Democrats/Liberals
Democratic politician (generic);Democrats/Liberals
Democrats;Democrats/Liberals
Centrists;Democrats/Liberals
Liberals;Democrats/Liberals
Leftists;Leftists/Socialists
Greens;Greens
Socialists;Leftists/Socialists
Antifa;Antifa
Abortion;Abortion
Gun Control;Gun Control
LGBTQ rights;LGBTQ rights
Vaccination;Vaccination
Belief in Institutional Racism;Racial equality
Belief in Climate Change;Belief in Climate Change
Immigration;Immigration
Affirmative Action for Racial Equality;Racial equality
Affirmative Action for Gender Equality;Gender equality
Muslims;Muslims
Jews;Jews
Catholics;Catholics
Protestants;Protestants
Christians;Christians
Atheists;Atheists
Whites;Whites
Blacks;Blacks
Hispanics;Hispanics
Asians;Asians
Indians;Indians
Government spending;Progressive socioeconomic policies
Tax cuts (general);Conservative socioeconomic policies
Tax cuts (for rich);Conservative socioeconomic policies
Tax cuts (for low-middle classes);Progressive socioeconomic policies
Higher corporate tax;Progressive socioeconomic policies
Higher taxes for the rich;Progressive socioeconomic policies
Minimum wage/Higher minimum wage;Progressive socioeconomic policies
Social spending;Progressive socioeconomic policies
Universal basic income;Universal basic income
Public healthcare;Progressive socioeconomic policies
Private healthcare;Conservative socioeconomic policies
Public education;Progressive socioeconomic policies
Private education;Conservative socioeconomic policies
Student loan forgiveness;Progressive socioeconomic policies
Government bailouts;Conservative socioeconomic policies
Military spending;Conservative socioeconomic policies
Police spending;Conservative socioeconomic policies
International Trade;International Trade
Protectionism;International Trade
Nuclear Energy;Nuclear Energy
Renewable/Green Energy;Renewable/Green Energy
Fossil fuels;Fossil fuels
Trust in the US government (general);Trust in the US government (general)
Trust in the Biden administration;Joe Biden
Trust in the Trump administration;Donald Trump
Trust in the Obama administration;Barack Obama
Trust in the G.W. Bush administration;George W. Bush
Trust in the US Military;Trust in the US Military
Trust in the US Law Enforcement;Trust in the US Law Enforcement
Trust in the US electoral system;Trust in the US electoral system
Restrictions on Voting Access;Restrictions on Voting Access
Trust in the US judicial system/courts;Trust in the US judicial system/courts
Trust in the US Supreme Court;Trust in the US judicial system/courts
Coronavirus stimulus checks;Coronavirus stimulus checks
Discrimination based on Political Beliefs or Activities;Discrimination based on Political Beliefs or Activities
Capital Punishment;Capital Punishment
Diversity, equity, and inclusion initiatives;Diversity, equity, and inclusion initiatives
Critical Race Theory;Critical Race Theory
Multiculturalism;Multiculturalism
Cannabis legalization;Cannabis legalization
Environmental Protections;Environmental Protections
Trust in the scientific community;Trust in the scientific community
Pornography;Pornography
Euthanasia;Euthanasia
AI-driven surveillance;AI-driven surveillance
Social Media Regulations;Social Media Regulations
Cryptocurrencies;Cryptocurrencies
AI Regulations;AI Regulations
Use of AI in the workplace;Use of AI in the workplace
Religion (general);Religion (general)
Net Neutrality;Net Neutrality
Zoning Laws;Zoning Laws
Whistleblowing/Leaks;Whistleblowing/Leaks
Censorship;Censorship
War on Drugs;War on Drugs
War on Terror;War on Terror
Invasion of Iraq (2003);Foreign military interventions by the US
NATO/US Allies;NATO/US Allies
United Nations;United Nations
European Union;European Union
Foreign military interventions by the US;Foreign military interventions by the US
US Support for Israel;Israel
Israel;Israel
Palestine;Palestine
Black Lives Matter movement;Black Lives Matter movement
Blue Lives Matter movement;Blue Lives Matter movement
MeToo movement;MeToo movement
Donald Trump;Donald Trump
Joe Biden;Joe Biden
Barack Obama;Barack Obama
G.W. Bush;George W. Bush
Bill Clinton;Bill Clinton
Ronald Reagan;Ronald Reagan
Richard Nixon;Richard Nixon
Franklin D. Roosevelt;Franklin D. Roosevelt
Theodore Roosevelt;Theodore Roosevelt
Abraham Lincoln;Abraham Lincoln
Hillary Clinton;Hillary Clinton
Bernie Sanders;Bernie Sanders
Alexandria Ocasio-Cortez;Alexandria Ocasio-Cortez
Elizabeth Warren;Elizabeth Warren
George Soros;George Soros
Elon Musk;Elon Musk
Ted Cruz;Ted Cruz
Marco Rubio;Marco Rubio
Mitt Romney;Mitt Romney
Ron Paul;Ron Paul
Rand Paul;Rand Paul
Newt Gingrich;Newt Gingrich
John McCain;John McCain
Trump supporters;Donald Trump
Biden supporters;Joe Biden
Obama supporters;Barack Obama
Bush supporters;George W. Bush
Hillary Clinton supporters;Hillary Clinton
Sanders supporters;Bernie Sanders
N/A;N/A
Other;Other
Belief in Trump-Russia Collusion;Belief in Trump-Russia Collusion
Belief in Russian Interference in Elections;Belief in Russian Interference in Elections
Increased Surveillance;Increased Surveillance
;
