Target;Explanation
Republicans/Conservatives;Republican Party, Republican or Conservative politicians, and their supporters.
Right-wingers;Right-wing politicians and their supporters
Independents;Independents
Democrats/Liberals;Democratic Party, Democratic or Liberal politicians, and their supporters.
Leftists/Socialists;Leftist/Socialist politicians and their supporters
Greens;Green politicians and their supporters
Antifa;Antifa political group
Abortion;Abortion rights
Gun Control;Gun control regulations
LGBTQ rights;LGBTQ rights
Vaccination;
Racial equality;
Belief in Climate Change;
Immigration;
Gender equality;
Muslims;
Jews;
Catholics;
Protestants;
Christians;
Atheists;
Whites;
Blacks;
Hispanics;
Asians;
Indians;
Progressive socioeconomic policies;Progressive socioeconomic policies usually associated with the Democratic Party, such as public spending, higher taxes, public healthcare
Conservative socioeconomic policies;Progressive socioeconomic policies usually associated with the Republican Party, such as reduced government spending, tax cuts, private healthcare
Universal basic income; Universal Basic Income (UBI) in which people regularly receive a minimum income without any checks on conditions.
International Trade; International Trade. Examples include Trans-Pacific Partnership, US trade with China, US trade with Canada and Mexico (NAFTA), World Trade Organization etc.
Nuclear Energy;
Renewable/Green Energy;
Fossil fuels;
Trust in the US government (general); the Trust the US government as an organization that do not mention a party/president
Joe Biden;
Donald Trump;
Barack Obama;
George W. Bush;
Trust in the US Military;
Trust in the US Law Enforcement;
Trust in the US electoral system; the US electoral system, including electoral college, two-party system, first past the post voting, electoral districts, campaign donations and funding (political action comittes, SuperPACs)
Restrictions on Voting Access; the regulations that make voting less accessible. Examples include registration or ID checks. Counter examples, i.e. cases that make voting easier, would include mail-in ballots, ways to reduce voting queues, or helping those waiting in the voting queue.
Trust in the US judicial system/courts; the US judicial system and courts in general. Examples include fair sentencing, costly court cases where corporations can outspend individuals
Coronavirus stimulus checks;
Discrimination based on Political Beliefs or Activities;
Capital Punishment;
Diversity, equity, and inclusion initiatives; DEI initiatives that seek to promote the fair treatment and full participation of all people, particularly groups who have historically been underrepresented or subject to discrimination. Criticized by Conservatives on the basis that it creates preferential treatment of minorities, forgoes merit as the basis of quality, and restricts freedom of speech.
Critical Race Theory; CRT, which focuses on the relationships between social conceptions of race and ethnicity, social and political laws, and mass media. CRT also considers racism to be systemic in various laws and rules, not based only on individuals' prejudices. It is criticisized by (often) Conservatives for being anti-American and anti-White, for undermining American history and traditions. Mostly referred in the context of right-wing backlash and censure of CRT in schools.
Multiculturalism; multiple cultures living together or interacting
Cannabis legalization;
Environmental Protections;
Trust in the scientific community;
Pornography;
Euthanasia;
AI-driven surveillance; whether the government should use AI technologies in surveillance.
Social Media Regulations; whether social media platforms and the associated companies should be regulated more 
Cryptocurrencies; cryptocurrencies, decentralized finance, and financial use of blockchain technology. A positive stance would favor those, a negative stance would be against or would call for more regulations.
AI Regulations; the general attitudes toward AI regulation or ethics
Use of AI in the workplace; the use of AI , often referred in the context of AI replacing human workers.
Religion (general); religion that speak on general terms without referring to a specific belief system
Net Neutrality; Net Neutrality, the principle that Internet service providers (ISPs) must treat all Internet communications equally.
Zoning Laws; (the US, and often state or city level) Zoning Regulations, that divide land in a municipality into zones in which certain land uses are permitted or prohibited. Often referred in the context of certain municipalities blocking new constructions to keep house/land values higher, which exacerbate housing crisis.
Whistleblowing/Leaks; whistleblowing or journalistic practice of leaking. Examples include Wikileaks, Panama Papers, Boeing whistleblowers, and often discussed through people such as Julian Assange, Edward Snowden, Chelsea Manning
Censorship; censorship by an administrative or regulative body (the government, the state, and also municipal education boards). Often referred in the context of some US schools banning certain books.
War on Drugs; the War on Drugs, the policy of a global campaign led by the United States federal government, of drug prohibition, foreign assistance, and military intervention, with the aim of reducing the illegal drug trade in the US. This is often referred in discussion of whether repression or legalization is better to reduce social harms caused by drugs.
War on Terror; the War on Terror, a global campaign led by the US against militant Islamist movements, such as Al-Qaeda, Taliban, ISIS and offshoots. Does not include the 2003 invasion of Iraq
Foreign military interventions by the US; the US military involvement in foreign conflicts. Examples include US involvement in the Syrian Civil War against Assad. Does not include Invasion or Iraq, War on Terror or War on Drugs.
NATO/US Allies; the NATO and other US Allies. Mainly referred within the context of the US' bases abroad, and whether the Allies are doing enough (financially or militarily)
United Nations;
European Union;
Foreign military interventions by the US;
Israel;Support for Israel
Palestine;Support for Palestine, Palestinian rights
Black Lives Matter movement;
Blue Lives Matter movement;Blue Lives Matter movement was a counter-movement against Black Lives Matter and stressed the dangers the law enforcement faces
MeToo movement;" the MeToo movement, and the practices employed or popularized by it, such as public exposures, social media campaigns against sexual harrasment and discrimination, and also ""cancelling"" of accused figures."
Bill Clinton;
Ronald Reagan;
Richard Nixon;
Franklin D. Roosevelt;
Theodore Roosevelt;
Abraham Lincoln;
Hillary Clinton;
Bernie Sanders;
Alexandria Ocasio-Cortez;
Elizabeth Warren;
George Soros;
Elon Musk;
Ted Cruz;
Marco Rubio;
Mitt Romney;
Ron Paul;
Rand Paul;
Newt Gingrich;
John McCain;
None;When target cannot be identified
Other;When there's an explicit target but is not listed
Belief in Trump-Russia Collusion;Regarding alleged collusion between Donald Trump and Russian authorities for political gain, including influencing elections
Belief in Russian Interference in Elections;Regarding attempts by Russia to influence US elections, without asserting whether this was intended to support Trump
Increased Surveillance; the increase in state or law enforcement surveillance activities. 
